"TOA5","Lebohang AQMS","CR1000","41024","CR1000.Std.32.05","CPU:Large AQMS.cr1","42754","Table1"
"TIMESTAMP","RECORD","WS_ms_S_WVT","WindDir_D1_WVT","WindDir_SD1_WVT","WS_ms_Max","AirTC_Avg","RH","SlrW_Avg","Rain_mm_Tot","Amb_Press_Avg","Batt_Volt_Avg","SO2_Avg","H2S_Avg","NO_Avg","NO2_Avg","NOX_Avg","PM10_Avg","PM25_Avg","O3_Avg","CO_Avg","CO2_Avg","LineV_Avg","Log_Temp_Avg"
"TS","RN","meters/second","Deg","Deg","meters/second","Deg C","%","W/mÂ²","mm","hPa","Volts","ppb","ppb","ppb","ppb","ppb","ug.m-3","ug.m-3","ppb","ppm","ppm","Volts","Deg C"
"","","WVc","WVc","WVc","Max","Avg","Smp","Avg","Tot","Avg","Avg","Avg","Avg","Avg","Avg","Avg","Avg","Avg","Avg","Avg","Avg","Avg","Avg"
"2023-03-16 01:24:00",94463,3.335466,98.8452,7.875685,4.4004,14.02599,97.67526,0,0,834.9297,12.83918,-394.112,0,0,1.353562,3.158308,33.83905,18.49864,6.993396,-413.2876,419.6042,0,22.22402
"2023-03-16 01:25:00",94464,3.350166,105.2593,14.19865,4.0966,14.00961,97.77747,0,0,834.9312,12.83926,-364.1104,0,0,1.35357,2.707141,33.83926,18.72439,4.286306,-405.6199,419.6068,0,22.22402
"2023-03-16 01:26:00",94465,3.4449,107.2512,7.288004,3.7242,13.9698,97.74332,0,0,834.9338,12.83896,-356.2182,0,0,1.804779,2.707168,33.8396,17.37099,3.158363,-407.6544,419.6111,0,22.22402
"2023-03-16 01:27:00",94466,3.967567,109.2468,5.489467,4.3906,13.94139,97.81138,0,0,834.9349,12.83905,-365.9203,0,0,1.353589,2.707179,33.83973,17.14546,5.414356,-410.1376,419.6127,0,22.22402
"2023-03-16 01:28:00",94467,3.559233,113.7687,7.966437,4.224,13.91297,97.81138,0,0,834.9359,12.83822,-357.5746,0,0,1.579194,2.70719,33.83987,18.49913,4.286383,-402.4688,419.6144,0,22.22402
"2023-03-16 01:29:00",94468,3.6017,108.7421,6.739327,4.2044,13.89022,97.91353,0,0,834.9376,12.83886,-381.9417,0,0,2.707207,2.932807,33.84008,18.95045,5.865614,-409.0138,419.617,0,22.19465
"2023-03-16 01:30:00",94469,3.7389,111.8741,7.593297,4.2828,13.89021,97.84535,0,0,834.9385,12.839,-343.5909,0,0,1.579208,2.932817,33.8402,16.4689,2.030416,-402.0215,419.6184,0,22.19465
"2023-03-16 01:31:00",94470,3.928366,119.6016,6.676132,4.2534,13.84477,97.94751,0,0,834.939,12.83903,-372.9199,0,0.4512034,1.353611,2.707222,33.84028,17.59694,5.188845,-414.6563,419.6194,0,22.17658
"2023-03-16 01:32:00",94471,4.114566,110.9647,4.456059,5.1354,13.9072,98.11786,0,0,834.9399,12.83788,-404.7311,0,0,1.353616,2.707232,33.84039,20.07863,6.993681,-409.6943,419.6208,0,22.16754
"2023-03-16 01:33:00",94472,3.965933,106.7777,7.921211,4.91,13.93063,97.98322,0,0,834.9405,12.83803,-340.8864,0,0,1.353619,2.707237,33.84047,14.8898,3.835257,-410.3721,419.6218,0,22.16754
